title,image_urls,description,aff_code
Ceas de birou Casio WAKE UP TIMER TQ-142-1EF,https://www.watchshop.ro/images/products/ws/86187/full/ceas-casio-wake-up-timer-tq-142-1df-128719.jpeg,"Seria: Wake up Timer&lt;br /&gt;Display: Analog&lt;br /&gt;Mecanism: Quartz&lt;br /&gt;Provenienta mecanism: Japonez&lt;br /&gt;Indica: Ora, minute, secunde&lt;br /&gt;Culoare cadran: Alb&lt;br /&gt;Material geam: Plastic&lt;br /&gt;Forma carcasei: Patrata&lt;br /&gt;Material carcasa: Plastic&lt;br /&gt;Culoare carcasa: Negru&lt;br /&gt;Dimensiune carcasa: 7.2 x 7.7 cm&lt;br /&gt;Grosime carcasa: 4.9 cm&lt;br /&gt;Alarma: Da&lt;br /&gt;Altele: &lt;b&gt;Logo pe cadran, Culoare markeri ora: Negru, Culoare aratatoare: Negru, Negru, Argintiu , Markeri ora si aratatoare cu insertii luminescente, Tip baterie: AA / LR6, Durata de viata a bateriei: aprox. 1 an , Precizie mecanism +/- 20 sec. luna&lt;/b&gt;&lt;br /&gt;Greutate: 104 grame&lt;br /&gt;",http://event.2parale.ro/events/click?ad_type=product_store&unique=22ab75451&aff_code=a515a663d&campaign_unique=2e49eab4f
Ceas de birou Casio WAKE UP TIMER TQ-141-2EF,https://www.watchshop.ro/images/products/ws/86191/full/ceas-casio-wake-up-timer-tq-141-2ef-128722.jpeg,"Seria: Wake up Timer&lt;br /&gt;Mecanism: Quartz&lt;br /&gt;Provenienta mecanism: Japonez&lt;br /&gt;Indica: Ora, minute, secunde&lt;br /&gt;Culoare cadran: Alb&lt;br /&gt;Material geam: Plastic&lt;br /&gt;Dimensiune cadran: 5.2 cm&lt;br /&gt;Forma carcasei: Patrata&lt;br /&gt;Material carcasa: Plastic&lt;br /&gt;Culoare carcasa: Albastru&lt;br /&gt;Dimensiune carcasa: 6.4 x 6.7 cm&lt;br /&gt;Grosime carcasa: 3.4 cm&lt;br /&gt;Alarma: Da&lt;br /&gt;Altele: &lt;b&gt;Logo pe cadran, Culoare markeri ora: Negru, Culoare aratatoare: Negru, Negru, Argintiu , Markeri ora si aratatoare cu insertii luminescente, Tip baterie: AA / LR6, Durata de viata a bateriei: aprox. 1 an , Precizie mecanism +/- 20 sec. luna&lt;/b&gt;&lt;br /&gt;Greutate: 79 grame&lt;br /&gt;",http://event.2parale.ro/events/click?ad_type=product_store&unique=3a2f6fb98&aff_code=a515a663d&campaign_unique=2e49eab4f
Ceas de perete Casio IQ-01-1R,https://www.watchshop.ro/images/products/ws/86194/full/ceas-casio-wall-clocks-iq-01-1r-128728.jpeg,"Display: Analog&lt;br /&gt;Mecanism: Quartz&lt;br /&gt;Provenienta mecanism: Japonez&lt;br /&gt;Indica: Ora, minut, secunda&lt;br /&gt;Culoare cadran: Negru&lt;br /&gt;Material geam: Cristal mineral&lt;br /&gt;Dimensiune cadran: 21.2 cm&lt;br /&gt;Forma carcasei: Rotunda&lt;br /&gt;Material carcasa: Plastic&lt;br /&gt;Culoare carcasa: Negru&lt;br /&gt;Dimensiune carcasa: 24.6 cm&lt;br /&gt;Grosime carcasa: 3.7 cm&lt;br /&gt;Altele: &lt;b&gt;Logo pe cadran, Tip citire cadran: Cifre arabe, Culoare markeri ora: Alb, Culoare aratatoare: Argintiu&lt;b&gt;&lt;br /&gt;",http://event.2parale.ro/events/click?ad_type=product_store&unique=719aaf572&aff_code=a515a663d&campaign_unique=2e49eab4f
Ceas de birou Casio WAKE UP TIMER TQ-143-8DF,https://www.watchshop.ro/images/products/ws/86197/full/ceas-casio-wake-up-timer-tq-143-8df-128733.jpeg,"Seria: Wake up Timer&lt;br /&gt;Mecanism: Quartz&lt;br /&gt;Provenienta mecanism: Japonez&lt;br /&gt;Indica: Ora, minute, secunde&lt;br /&gt;Culoare cadran: Alb&lt;br /&gt;Material geam: Plastic&lt;br /&gt;Forma carcasei: Patrata&lt;br /&gt;Material carcasa: Plastic&lt;br /&gt;Culoare carcasa: Gri&lt;br /&gt;Dimensiune carcasa: 7.8 cm&lt;br /&gt;Grosime carcasa: 4.5 cm&lt;br /&gt;Alarma: Da&lt;br /&gt;Altele: &lt;b&gt;Logo pe cadran, Culoare markeri ora: Negru, , Culoare aratatoare: Negru, Negru, Argintiu , Markeri ora si aratatoare cu insertii luminescente, , Iluminare cadran, Snooze , , Tip baterie: AA / LR6, Durata de viata a bateriei: aprox. 1 an , Precizie mecanism +/- 20 sec. luna&lt;/b&gt;&lt;br /&gt;Greutate: 101 grame&lt;br /&gt;",http://event.2parale.ro/events/click?ad_type=product_store&unique=fe0c507de&aff_code=a515a663d&campaign_unique=2e49eab4f
Ceas de perete Casio IQ-01-7R,https://www.watchshop.ro/images/products/ws/86199/full/ceas-casio-wall-clocks-iq-01-7r-128732.jpeg,"Display: Analog&lt;br /&gt;Mecanism: Quartz&lt;br /&gt;Provenienta mecanism: Japonez&lt;br /&gt;Indica: Ora, minut, secunda&lt;br /&gt;Culoare cadran: Alb&lt;br /&gt;Material geam: Cristal mineral&lt;br /&gt;Dimensiune cadran: 21 cm&lt;br /&gt;Forma carcasei: Rotunda&lt;br /&gt;Material carcasa: Plastic&lt;br /&gt;Culoare carcasa: Alb&lt;br /&gt;Dimensiune carcasa: 24.6 cm&lt;br /&gt;Grosime carcasa: 3.7 cm&lt;br /&gt;Altele: &lt;b&gt;Logo pe cadran, Tip citire cadran: Cifre arabe, Culoare markeri ora: Negru, Culoare aratatoare: Negru&lt;b&gt;&lt;br /&gt;",http://event.2parale.ro/events/click?ad_type=product_store&unique=82a93b01b&aff_code=a515a663d&campaign_unique=2e49eab4f
Ceas de perete Casio IQ-126-5DF,https://www.watchshop.ro/images/products/ws/86202/full/ceas-casio-wake-up-timer-iq-126-5df-128751.jpeg,"Display: Analog&lt;br /&gt;Mecanism: Quartz&lt;br /&gt;Provenienta mecanism: Japonez&lt;br /&gt;Indica: Ora, minut, secunda&lt;br /&gt;Culoare cadran: Alb&lt;br /&gt;Material geam: Cristal mineral&lt;br /&gt;Dimensiune cadran: 25 cm&lt;br /&gt;Forma carcasei: Rotunda&lt;br /&gt;Material carcasa: Lemn&lt;br /&gt;Culoare carcasa: Maro&lt;br /&gt;Dimensiune carcasa: 26 cm&lt;br /&gt;Grosime carcasa: 4 cm&lt;br /&gt;Altele: &lt;b&gt;Logo pe cadran, Tip citire cadran: Cifre arabe, Culoare markeri ora: Negru, Culoare aratatoare: Negru, Precizie mecanism: +/-20 de secunde pe luna, Tip baterie: AA, Durata de viata a bateriei: aprox 1 an&lt;b&gt;&lt;br /&gt;Greutate: 540 grame&lt;br /&gt;",http://event.2parale.ro/events/click?ad_type=product_store&unique=1f6fceb5e&aff_code=a515a663d&campaign_unique=2e49eab4f
Ceas de perete Seiko QXA330K,https://www.watchshop.ro/images/products/ws/86327/full/ceas-seiko-wanduhr-qxa330k-129368.jpeg,"Display: Analog&lt;br /&gt;Mecanism: Quartz&lt;br /&gt;Provenienta mecanism: Japonez&lt;br /&gt;Indica: Ora, minut, secunda&lt;br /&gt;Culoare cadran: Negru&lt;br /&gt;Forma carcasei: Patrata&lt;br /&gt;Material carcasa: Plastic&lt;br /&gt;Culoare carcasa: Negru&lt;br /&gt;Dimensiune carcasa: 31 x 32 cm&lt;br /&gt;Grosime carcasa: 4.1 cm&lt;br /&gt;Altele: &lt;b&gt;Logo pe cadran, Tip citire cadran: Linii si cifre arabe in dreptul orelor 3, 6, 9,12, Culoare markeri ora: Argintiu, Alb, Culoare aratatoare: Argintiu&lt;b&gt;&lt;br /&gt;",http://event.2parale.ro/events/click?ad_type=product_store&unique=bb8b3c926&aff_code=a515a663d&campaign_unique=2e49eab4f
Ceas de perete Seiko QXA521K,https://www.watchshop.ro/images/products/ws/86330/full/ceas-seiko-wanduhr-qxa521k-129371.jpeg,"Display: Analog&lt;br /&gt;Mecanism: Quartz&lt;br /&gt;Provenienta mecanism: Japonez&lt;br /&gt;Indica: Ora, minute, secunde&lt;br /&gt;Culoare cadran: Alb&lt;br /&gt;Dimensiune cadran: 28.5 cm&lt;br /&gt;Forma carcasei: Rotunda&lt;br /&gt;Material carcasa: Plastic&lt;br /&gt;Culoare carcasa: Negru&lt;br /&gt;Dimensiune carcasa: 29.5 cm&lt;br /&gt;Grosime carcasa: 4.8 cm&lt;br /&gt;Altele: &lt;b&gt;Logo pe cadran, Tip citire cadran: Cifre arabe, Culoare markeri ora: Negru cu insertii verzi, Culoare aratatoare: Negru cu insertii verzi, Argintiu&lt;b&gt;&lt;br /&gt;",http://event.2parale.ro/events/click?ad_type=product_store&unique=c5bef347f&aff_code=a515a663d&campaign_unique=2e49eab4f
Ceas de birou Seiko WECKER QHE019J,https://www.watchshop.ro/images/products/ws/86331/full/ceas-seiko-wecker-qhe019j-129373.jpeg,"Seria: Wecker&lt;br /&gt;Display: Analog&lt;br /&gt;Mecanism: Quartz&lt;br /&gt;Provenienta mecanism: Japonez&lt;br /&gt;Indica: Ora, minut, secunda&lt;br /&gt;Culoare cadran: Negru&lt;br /&gt;Forma carcasei: Patrata&lt;br /&gt;Material carcasa: Plastic&lt;br /&gt;Culoare carcasa: Negru&lt;br /&gt;Dimensiune carcasa: 7.6 x 6.5 cm&lt;br /&gt;Grosime carcasa: 3.5 cm&lt;br /&gt;Alarma: Da&lt;br /&gt;Iluminare: Da&lt;br /&gt;Altele: &lt;b&gt;Logo pe cadran, Tip citire cadran: Linii si Cifre arabe, Culoare markeri ora: Alb, Culoare aratatoare: Alb, Aratatoare cu insertii luminescente, Iluminare LumiBrite: permite vizualizarea afisajului in intuneric, Alarma: suna la ora setata si se opreste automat, Snooze&lt;b&gt;&lt;br /&gt;",http://event.2parale.ro/events/click?ad_type=product_store&unique=be04b4abd&aff_code=a515a663d&campaign_unique=2e49eab4f
Ceas de birou Seiko WECKER QHE019W,https://www.watchshop.ro/images/products/ws/86333/full/ceas-seiko-wecker-qhe019w-129374.jpeg,"Seria: Wecker&lt;br /&gt;Display: Analog&lt;br /&gt;Mecanism: Quartz&lt;br /&gt;Provenienta mecanism: Japonez&lt;br /&gt;Indica: Ora, minut, secunda&lt;br /&gt;Culoare cadran: Alb&lt;br /&gt;Forma carcasei: Patrata&lt;br /&gt;Material carcasa: Plastic&lt;br /&gt;Culoare carcasa: Alb&lt;br /&gt;Dimensiune carcasa: 6.5 x 7.6 cm&lt;br /&gt;Grosime carcasa: 3.5 cm&lt;br /&gt;Alarma: Da&lt;br /&gt;Iluminare: Da&lt;br /&gt;Altele: &lt;b&gt;Logo pe cadran, Tip citire cadran: Linii si Cifre arabe, Culoare markeri ora: Negru, Culoare aratatoare: Negru, Aratatoare cu insertii luminescente, Iluminare LumiBrite: permite vizualizarea afisajului in intuneric, Alarma: suna la ora setata si se opreste automat, Snooze&lt;b&gt;&lt;br /&gt;",http://event.2parale.ro/events/click?ad_type=product_store&unique=675f67152&aff_code=a515a663d&campaign_unique=2e49eab4f
